Model,Accuracy_test,Accuracy_train,Precision,Recall,F1,Cross-val
"LogisticRegression(C=0.1, max_iter=500, penalty='l2', random_state=42)",0.8156,0.8076,0.7971,0.7432,0.7692,0.7935
"KNeighborsClassifier(metric='euclidean', n_neighbors=3)",0.7821,0.8708,0.7465,0.7162,0.731,0.7837
DecisionTreeClassifier(max_depth=3),0.7989,0.8343,0.7969,0.6892,0.7391,0.816
"RandomForestClassifier(ccp_alpha=0.005, max_depth=10, max_features=0.5,
                       max_samples=0.7, min_samples_leaf=4,
                       min_samples_split=10, n_estimators=50, random_state=42)",0.8212,0.8539,0.8387,0.7027,0.7647,0.8244
"CatBoostClassifier(bagging_temperature=0, depth=4, iterations=100, l2_leaf_reg=3, learning_rate=0.1, random_state=42, verbose=False)",0.8045,0.8525,0.8095,0.6892,0.7445,0.8202
"LGBMClassifier(learning_rate=0.05, max_depth=5, random_state=42)",0.8212,0.8806,0.8088,0.7432,0.7746,0.8287
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.8, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              feature_weights=None, gamma=0.01, grow_policy=None,
              importance_type=None, interaction_constraints=None,
              learning_rate=0.01, max_bin=None, max_cat_threshold=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=5,
              max_leaves=None, min_child_weight=5, missing=nan,
              monotone_constraints=None, multi_strategy=None, n_estimators=200,
              n_jobs=None, num_parallel_tree=None, ...)",0.8101,0.8525,0.8226,0.6892,0.75,0.8132
PyTorch_NN_Final,0.8436,0.8104,0.8286,0.7838,0.8056,-
"VotingClassifier(estimators=[('xgb1',
                              XGBClassifier(base_score=None, booster=None,
                                            callbacks=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None, device=None,
                                            early_stopping_rounds=None,
                                            enable_categorical=False,
                                            eval_metric=None,
                                            feature_types=None,
                                            feature_weights=None, gamma=None,
                                            grow_policy=None,
                                            importance_type=None,
                                            interaction_constr...
                                            grow_policy=None,
                                            importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None, max_bin=None,
                                            max_cat_threshold=None,
                                            max_cat_to_onehot=None,
                                            max_delta_step=None, max_depth=4,
                                            max_leaves=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            multi_strategy=None,
                                            n_estimators=None, n_jobs=None,
                                            num_parallel_tree=None, ...))],
                 voting='soft', weights=[1, 2, 1])",0.8324,0.927,0.8143,0.7703,0.7917,0.8273
"StackingClassifier(cv=5,
                   estimators=[('xgb1',
                                XGBClassifier(base_score=None, booster=None,
                                              callbacks=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              device=None,
                                              early_stopping_rounds=None,
                                              enable_categorical=False,
                                              eval_metric=None,
                                              feature_types=None,
                                              feature_weights=None, gamma=None,
                                              grow_policy=None,
                                              importance_type=None,
                                              interaction...
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None, max_bin=None,
                                              max_cat_threshold=None,
                                              max_cat_to_onehot=None,
                                              max_delta_step=None, max_depth=4,
                                              max_leaves=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              multi_strategy=None,
                                              n_estimators=None, n_jobs=None,
                                              num_parallel_tree=None, ...))],
                   final_estimator=LogisticRegression())",0.8268,0.9228,0.8116,0.7568,0.7832,0.8146
